symbol	meaning	description	human_family	human_family_title	catalog_group	path
FTNT	Fortinet Inc	Fortinet Inc	stocks	US Stocks	stocks	Stocks\US\FTNT
FUTU	Futu Holdings Ltd	Futu Holdings Ltd	stocks	US Stocks	stocks	Stocks\US\FUTU
GILD	Gilead Sciences Inc	Gilead Sciences Inc	stocks	US Stocks	stocks	Stocks\US\GILD
GLXY	Galaxy Digital Inc.	Galaxy Digital Inc.	stocks	US Stocks	stocks	Stocks\US\GLXY
GM	General Motors Co	General Motors Co	stocks	US Stocks	stocks	Stocks\US\GM
GNRC	Generac Holdings Inc	Generac Holdings Inc	stocks	US Stocks	stocks	Stocks\US\GNRC
GOOG	ALPHABET INC-CL C	ALPHABET INC-CL C	stocks	US Stocks	stocks	Stocks\US\GOOG
GRAB	Grab Holdings Ltd (ADRs)	Grab Holdings Ltd (ADRs)	stocks	US Stocks	stocks	Stocks\US\GRAB
GS	Goldman Sachs Group Inc	Goldman Sachs Group Inc	stocks	US Stocks	commodities	Stocks\US\GS
HD	HOME DEPOT INC	HOME DEPOT INC	stocks	US Stocks	stocks	Stocks\US\HD
HON	HONEYWELL INTERNATIONAL INC	HONEYWELL INTERNATIONAL INC	stocks	US Stocks	stocks	Stocks\US\HON
HOOD	ROBINHOOD MARKETS INC - A	ROBINHOOD MARKETS INC - A	stocks	US Stocks	stocks	Stocks\US\HOOD
HPE	Hewlett Packard Enterprise Co / HPE	Hewlett Packard Enterprise Co / HPE	stocks	US Stocks	stocks	Stocks\US\HPE
HSBCn	HSBC HOLDINGS PLC-SPONS ADR	HSBC HOLDINGS PLC-SPONS ADR	stocks	US Stocks	stocks	Stocks\US\HSBCn
HTHT	Huazhu Group Ltd	Huazhu Group Ltd	stocks	US Stocks	stocks	Stocks\US\HTHT
HUT	Hut 8 Mining Corp	Hut 8 Mining Corp	stocks	US Stocks	stocks	Stocks\US\HUT
IBM	INTL BUSINESS MACHINES CORP	INTL BUSINESS MACHINES CORP	stocks	US Stocks	stocks	Stocks\US\IBM
IBN	ICICI Bank Ltd (ADRs)	ICICI Bank Ltd (ADRs)	stocks	US Stocks	stocks	Stocks\US\IBN
ICL	ICL Group Ltd (ADRs)	ICL Group Ltd (ADRs)	stocks	US Stocks	stocks	Stocks\US\ICL
INSM	Insmed Incorporated	Insmed Incorporated	stocks	US Stocks	stocks	Stocks\US\INSM
INTEL	INTEL CORP	INTEL CORP	stocks	US Stocks	stocks	Stocks\US\INTEL
INTU	Intuit Inc	Intuit Inc	stocks	US Stocks	stocks	Stocks\US\INTU
IP	International Paper Co	International Paper Co	stocks	US Stocks	stocks	Stocks\US\IP
IR	Ingersoll Rand Inc	Ingersoll Rand Inc	stocks	US Stocks	crypto	Stocks\US\IR
ISRG	Intuitive Surgical Inc	Intuitive Surgical Inc	stocks	US Stocks	stocks	Stocks\US\ISRG
ITW	Illinois Tool Works / ITW	Illinois Tool Works / ITW	stocks	US Stocks	stocks	Stocks\US\ITW
JBL	Jabil Inc	Jabil Inc	stocks	US Stocks	stocks	Stocks\US\JBL
JD	JD.COM INC-ADR	JD.COM INC-ADR	stocks	US Stocks	stocks	Stocks\US\JD
JNJ	JOHNSON & JOHNSON	JOHNSON & JOHNSON	stocks	US Stocks	stocks	Stocks\US\JNJ
